短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
98,5.8,22.6,998,-0.207911690817759,-0.9781476007338056,0.896854219,2.950528182,6
98,5.4,22.5,999,-0.2249510543438649,-0.9743700647852352,0.484884471,2.681587515,7
99,5.1,22.5,999,-0.1908089953765447,-0.981627183447664,0.321649062,2.68401397,8
99,5.0,22.5,999,-0.1391731009600655,-0.9902680687415704,0.000463471,2.73829,9
99,5.1,22.6,1000,-0.104528463267653,-0.9945218953682734,-0.109552666,1.848226848,10
99,5.1,22.6,1000,-0.1218693434051477,-0.992546151641322,-0.051338106,2.207350758,11
99,1.9,23.2,1000,-0.3090169943749477,-0.9510565162951536,0.218951212,3.247927273,12
99,1.9,23.1,999,-0.5735764363510458,-0.819152044288992,0.783487943,3.379896697,13
99,2.1,22.9,999,-0.6560590289905074,-0.7547095802227719,1.221996944,3.67925,14
99,2.3,22.7,999,-0.6560590289905074,-0.7547095802227719,3.89038718,4.406295152,15
99,2.4,22.5,999,-0.6691306063588582,-0.7431448254773942,6.113355142,5.050312273,16
99,2.7,22.4,999,-0.6691306063588582,-0.7431448254773942,8.197167194,5.934064545,17
99,3.0,22.4,999,-0.7071067811865475,-0.7071067811865477,8.448964932,5.923571818,18
99,3.3,22.4,1000,-0.7313537016191701,-0.6819983600624989,5.164957553,4.923454242,19
99,3.4,22.5,1000,-0.7313537016191701,-0.6819983600624989,5.478597041,5.124034545,20
99,3.5,22.7,1000,-0.7313537016191701,-0.6819983600624989,8.098248617,5.090117273,21
99,3.7,22.8,1000,-0.6819983600624984,-0.7313537016191706,4.685039284,4.406223333,22
99,4.4,22.9,1000,-0.5299192642332048,-0.8480480961564261,4.256651806,4.229019394,23
99,5.7,22.8,999,-0.374606593415912,-0.9271838545667874,3.172727498,3.842442424,0
99,7.3,22.6,999,-0.2588190451025203,-0.9659258262890684,3.591778284,4.064281818,1
99,8.4,22.5,998,-0.2419218955996675,-0.9702957262759964,2.548038734,3.781892424,2
